distanceFromStartLine,trackPosition,speedLimit
0.5756,0.6293,230
1.5872,0.6288,230
2.599,0.6283,230
3.611,0.6279,230
4.6233,0.6275,230
5.6358,0.6271,230
6.6486,0.6267,230
7.6615,0.6263,230
8.6747,0.6259,230
9.6882,0.6255,230
10.7019,0.6251,230
11.7157,0.6247,230
12.7298,0.6243,230
13.7441,0.6239,230
14.7587,0.6235,230
15.7734,0.6231,230
16.7884,0.6227,230
17.8036,0.6223,230
18.8189,0.6219,230
19.8346,0.6215,230
20.8504,0.6211,230
21.8664,0.6207,230
22.8826,0.6203,230
23.8991,0.6199,230
24.9157,0.6195,230
25.9326,0.6191,230
26.9496,0.6187,230
27.9669,0.6183,230
28.9844,0.6179,230
30.002,0.6175,230
31.0198,0.6171,230
32.0379,0.6167,230
33.0562,0.6163,230
34.0746,0.6159,230
35.0932,0.6155,230
36.1121,0.6151,230
37.131,0.6147,230
38.1503,0.6143,230
39.1698,0.6139,230
40.1898,0.6135,230
41.2107,0.6131,230
42.2327,0.6127,230
43.2559,0.6123,230
44.2807,0.6119,230
45.307,0.6115,230
46.3349,0.6111,230
47.3644,0.6107,230
48.3955,0.6103,230
49.428,0.6099,230
50.4621,0.6095,230
51.4977,0.6091,230
52.5349,0.6087,230
53.5736,0.6083,230
54.6137,0.6079,230
55.6549,0.6075,230
56.6955,0.6071,230
57.7354,0.6067,230
58.7746,0.6063,230
59.8132,0.6059,230
60.8511,0.6055,230
61.8883,0.6051,230
62.9249,0.6047,230
63.9613,0.6043,230
64.9986,0.6039,230
66.037,0.6035,230
67.0764,0.6031,230
68.1169,0.6027,230
69.1584,0.6023,230
70.2009,0.6019,230
71.244,0.6015,230
72.2871,0.6011,230
73.3304,0.6007,230
74.3737,0.6003,230
75.4172,0.5999,230
76.4605,0.5995,230
77.5039,0.5991,230
78.5473,0.5987,230
79.5907,0.5983,230
80.6341,0.5979,110
81.6775,0.5975,110
82.7201,0.5971,110
83.7598,0.5967,110
84.7952,0.5963,110
85.8247,0.5959,110
86.8388,0.5955,110
87.843,0.5951,110
88.8376,0.5947,110
89.8216,0.5943,110
90.7947,0.5939,110
91.7563,0.5935,110
92.7062,0.5931,110
93.6444,0.5927,110
94.5717,0.5923,110
95.4883,0.5919,110
96.3944,0.5915,110
97.2903,0.5911,110
98.1766,0.5907,110
99.0533,0.5903,110
99.9202,0.5899,110
100.777,0.5895,110
101.625,0.5891,110
102.463,0.5887,110
103.29,0.5883,110
104.109,0.5879,110
104.917,0.5875,110
105.716,0.5871,110
106.505,0.5867,110
107.286,0.5863,110
108.057,0.5859,110
108.819,0.5855,110
109.573,0.5851,110
110.318,0.5847,110
111.054,0.5843,110
111.781,0.5873,110
112.5,0.5934,110
113.21,0.5995,110
113.911,0.6056,110
114.604,0.6117,110
115.288,0.6177,110
115.963,0.6237,110
116.63,0.6298,110
117.288,0.6358,110
117.937,0.6419,110
118.577,0.648,110
119.209,0.6542,110
119.832,0.6603,110
120.447,0.6665,110
121.053,0.6727,110
121.651,0.6788,110
122.242,0.6846,110
122.83,0.6899,110
123.418,0.6944,110
124.007,0.698,110
124.595,0.7008,110
125.184,0.7027,110
125.772,0.7035,110
126.36,0.7033,110
126.948,0.7024,110
127.537,0.701,110
128.126,0.6991,110
128.715,0.6967,110
129.304,0.6939,110
129.894,0.6907,110
130.484,0.6872,110
131.074,0.6836,110
131.661,0.6799,110
132.245,0.6762,110
132.823,0.6726,110
133.395,0.669,110
133.959,0.6656,110
134.515,0.6623,110
135.063,0.6591,110
135.601,0.6561,110
136.131,0.6532,110
136.653,0.6504,110
137.165,0.6478,110
137.671,0.6453,110
138.17,0.6429,110
138.662,0.6405,110
139.147,0.6383,110
139.625,0.6362,110
140.103,0.6342,110
140.58,0.6322,110
141.058,0.6302,110
141.536,0.6283,110
142.015,0.6265,110
142.49,0.6248,110
142.967,0.6233,110
143.444,0.6218,110
143.923,0.6205,110
144.401,0.6193,110
144.881,0.6183,110
145.361,0.6175,110
145.842,0.6168,110
146.323,0.6162,110
146.805,0.6158,110
147.288,0.6156,110
147.771,0.6156,110
148.256,0.6157,110
148.741,0.616,110
149.226,0.6164,110
149.712,0.6171,110
