distanceFromStartLine,trackPosition,speedLimit
0.4554,0.4821,300
1.6237,0.4815,300
2.7919,0.481,300
3.9601,0.4804,300
5.1283,0.4799,300
6.2965,0.4793,300
7.4647,0.4787,300
8.6329,0.4782,300
9.8011,0.4776,300
10.9694,0.4771,300
12.1376,0.4765,300
13.3053,0.476,300
14.4729,0.4754,300
15.6405,0.4749,300
16.8081,0.4743,300
17.9757,0.4738,300
19.1433,0.4732,300
20.3109,0.4727,300
21.4785,0.4721,300
22.6461,0.4716,300
23.8137,0.471,300
24.9813,0.4705,300
26.1489,0.4699,300
27.3165,0.4693,300
28.4841,0.4688,300
29.6517,0.4681,300
30.8193,0.4671,300
31.9864,0.4654,300
33.1534,0.4632,300
34.3204,0.4607,300
35.4872,0.4578,300
36.6536,0.4544,300
37.82,0.4507,300
38.9864,0.4467,300
40.1528,0.4424,300
41.3192,0.4379,300
42.4855,0.4333,300
43.6516,0.4287,300
44.8173,0.4239,300
45.9833,0.4191,300
47.1497,0.4143,300
48.3165,0.4095,300
49.4839,0.4046,300
50.6522,0.3998,300
51.8216,0.3949,300
52.992,0.39,300
54.1635,0.3852,300
55.336,0.3803,300
56.5095,0.3754,300
57.6841,0.3705,300
58.8596,0.3656,300
60.0352,0.3607,300
61.2101,0.3559,300
62.3854,0.351,300
63.561,0.3461,300
64.7365,0.3412,300
65.912,0.3363,300
67.0876,0.3315,300
68.2637,0.3266,300
69.4398,0.3217,300
70.616,0.3168,300
71.7921,0.3119,300
72.9684,0.307,300
74.1452,0.3021,300
75.322,0.2972,300
76.4987,0.2923,300
77.6758,0.2874,300
78.853,0.2825,300
80.0303,0.2777,300
81.2081,0.2728,300
82.3861,0.2679,300
83.5641,0.263,300
84.7421,0.2581,300
85.9207,0.2532,300
87.0995,0.2483,300
88.2791,0.2434,300
89.4595,0.2385,300
90.6409,0.2335,300
91.8232,0.2286,300
93.0054,0.2237,300
94.1877,0.2188,300
95.37,0.2139,300
96.5529,0.209,300
97.7365,0.2041,300
98.9205,0.1991,300
100.105,0.1942,300
101.289,0.1893,300
102.473,0.1844,300
103.658,0.1795,300
104.842,0.1745,300
106.027,0.1696,300
107.212,0.1647,300
108.396,0.1598,300
109.581,0.1549,300
110.766,0.1499,300
111.951,0.145,300
113.136,0.1401,300
114.321,0.1351,300
115.507,0.1302,300
116.692,0.1253,300
117.877,0.1204,300
119.063,0.1154,300
120.248,0.1105,300
121.434,0.1054,300
122.621,0.1,300
123.807,0.094,300
124.992,0.0871,300
126.177,0.0792,300
127.36,0.0701,300
128.543,0.0597,300
129.724,0.0484,300
130.905,0.0361,300
132.086,0.0227,300
133.265,0.0083,300
134.444,-0.0069,300
135.622,-0.023,300
136.799,-0.0397,300
137.976,-0.0569,300
139.153,-0.0744,300
140.329,-0.0921,300
141.507,-0.1101,300
142.684,-0.1281,300
143.861,-0.1462,300
145.038,-0.1644,300
146.216,-0.1825,300
147.393,-0.2007,300
148.57,-0.2189,300
149.748,-0.2371,300
150.926,-0.2553,300
152.105,-0.2733,300
153.283,-0.291,300
154.462,-0.3081,300
155.642,-0.3244,300
156.822,-0.3396,300
158.002,-0.3536,300
159.184,-0.3663,300
160.366,-0.378,300
161.549,-0.3888,300
162.733,-0.3985,300
163.918,-0.4072,300
165.103,-0.415,300
166.288,-0.422,300
167.474,-0.4285,300
168.659,-0.4344,300
169.845,-0.44,300
171.032,-0.4454,300
172.219,-0.4506,300
173.407,-0.4558,300
174.596,-0.4609,300
175.786,-0.4659,300
176.978,-0.471,300
178.17,-0.4762,300
179.363,-0.4817,300
180.557,-0.4878,300
181.751,-0.4948,300
182.945,-0.5028,300
184.14,-0.5118,300
185.335,-0.5216,300
186.53,-0.5321,300
187.725,-0.5435,300
188.922,-0.5557,300
190.118,-0.5685,300
191.315,-0.5818,300
192.513,-0.5955,300
193.712,-0.6095,300
194.912,-0.6237,300
196.112,-0.6381,300
197.313,-0.6525,300
198.516,-0.6671,300
199.719,-0.6816,300
200.923,-0.6962,300
202.129,-0.7108,300
203.335,-0.7255,300
204.543,-0.7401,300
205.799,-0.7544,300
207.089,-0.7668,300
208.382,-0.7773,300
209.678,-0.7859,300
210.977,-0.7925,300
212.278,-0.7971,300
213.581,-0.7997,300
214.886,-0.8004,300
216.191,-0.799,300
217.497,-0.7958,300
218.803,-0.791,300
220.11,-0.7847,300
221.415,-0.7771,300
222.72,-0.7677,300
224.024,-0.7568,300
225.327,-0.7443,300
226.628,-0.7302,300
227.927,-0.7143,300
