distanceFromStartLine,trackPosition,speedLimit
0.0443,-0.1988,200
1.0755,-0.194,200
2.1085,-0.189,200
3.1432,-0.1839,200
4.1797,-0.1788,200
5.2179,-0.1735,200
6.2579,-0.1682,200
7.2997,-0.1629,200
8.3431,-0.1575,200
9.3884,-0.1521,200
10.4354,-0.1468,200
11.4842,-0.1414,200
12.5346,-0.136,200
13.5869,-0.1305,200
14.6409,-0.1251,200
15.6967,-0.1196,200
16.7542,-0.1141,200
17.8134,-0.1086,200
18.8744,-0.1031,200
19.9371,-0.0976,200
21.0016,-0.0922,200
22.0678,-0.0867,200
23.1357,-0.0812,200
24.2054,-0.0757,200
25.2768,-0.0702,200
26.35,-0.0647,200
27.4248,-0.0591,200
28.5015,-0.0535,200
29.5798,-0.0479,200
30.6599,-0.0425,200
31.7417,-0.0376,200
32.8252,-0.0332,200
33.9104,-0.0289,200
34.9975,-0.0248,200
36.0862,-0.021,200
37.1767,-0.0174,200
38.2689,-0.014,200
39.3629,-0.0107,200
40.4586,-0.0074,200
41.5559,-0.0043,200
42.655,-0.0012,200
43.7558,0.0019,200
44.8584,0.005,200
45.9625,0.008,200
47.0684,0.011,200
48.176,0.014,200
49.2853,0.017,200
50.3963,0.0201,200
51.509,0.0231,200
52.6234,0.0262,200
53.7394,0.0294,200
54.8571,0.0325,200
55.9766,0.0356,200
57.0977,0.0388,200
58.2205,0.0419,200
59.345,0.045,200
60.4712,0.0482,200
61.599,0.0513,200
62.7285,0.0544,200
63.8596,0.0576,200
64.9925,0.0607,200
66.127,0.0638,200
67.2631,0.067,200
68.401,0.0701,200
69.5405,0.0732,200
70.6816,0.0764,200
71.8245,0.0795,200
72.9689,0.0826,200
74.1151,0.0858,200
75.2621,0.0889,200
76.4081,0.092,200
77.5531,0.0952,200
78.6972,0.0983,200
79.8402,0.1014,200
80.9821,0.1046,200
82.1231,0.1077,200
83.2637,0.1108,200
84.4054,0.114,200
85.548,0.1171,200
86.6917,0.1202,200
87.8364,0.1234,200
88.9821,0.1265,200
90.129,0.1296,200
91.2768,0.1328,200
92.4256,0.1359,200
93.5755,0.1391,200
94.7265,0.1424,200
95.8783,0.1456,200
97.0313,0.1489,200
98.1854,0.1521,200
99.3404,0.1554,200
100.496,0.1586,200
101.654,0.1618,200
102.812,0.1651,200
103.971,0.1683,200
105.131,0.1716,200
106.292,0.1748,200
107.454,0.1781,200
108.617,0.1813,200
109.781,0.1846,200
110.946,0.1878,200
112.113,0.191,200
113.28,0.1943,200
114.448,0.1975,200
115.617,0.2008,200
116.787,0.204,200
117.958,0.2073,200
119.131,0.2105,200
120.304,0.2138,200
121.478,0.217,200
122.653,0.2203,200
123.829,0.2235,200
125.007,0.2267,200
126.185,0.23,200
127.364,0.2332,200
128.544,0.2365,200
129.725,0.2397,200
130.907,0.243,200
132.09,0.2462,200
133.275,0.2495,200
134.46,0.2527,200
135.646,0.256,200
136.833,0.2592,200
138.021,0.2624,200
139.21,0.2657,200
140.4,0.269,200
141.591,0.2724,200
142.783,0.2757,200
143.976,0.2791,200
145.17,0.2824,200
146.364,0.2858,200
147.56,0.2891,200
148.757,0.2925,200
149.955,0.2959,200
151.154,0.2992,200
152.353,0.3026,200
153.554,0.3059,200
154.756,0.3093,200
155.958,0.3126,200
157.162,0.316,200
158.366,0.3194,200
159.572,0.3227,200
160.778,0.3261,200
161.985,0.3294,200
163.194,0.3328,200
164.403,0.3361,200
165.613,0.3395,200
166.824,0.3429,200
168.037,0.3462,200
169.25,0.3496,200
170.464,0.3529,200
171.679,0.3563,200
172.895,0.3596,200
174.111,0.363,200
175.329,0.3664,200
176.548,0.3697,200
177.768,0.3731,200
178.988,0.3764,200
180.21,0.3798,200
181.432,0.3831,200
182.656,0.3865,200
183.88,0.3899,200
185.103,0.3932,200
186.326,0.3966,200
187.549,0.3999,200
188.772,0.4033,200
189.994,0.4066,200
191.216,0.41,200
192.438,0.4133,200
193.659,0.4167,200
194.88,0.4201,200
196.102,0.4234,200
197.324,0.4268,200
198.547,0.4301,200
199.77,0.4335,200
200.993,0.4368,200
202.216,0.4402,200
203.438,0.4436,200
204.66,0.4469,200
205.882,0.4503,200
207.103,0.4536,200
208.324,0.457,200
209.546,0.4603,200
210.768,0.4637,200
211.991,0.4671,200
213.214,0.4704,200
214.437,0.4738,200
215.66,0.4771,200
216.883,0.4805,200
218.105,0.4838,200
219.326,0.4872,200
220.548,0.4906,200
221.769,0.4939,200
222.991,0.4973,200
224.213,0.5006,200
225.436,0.504,200
226.659,0.5073,200
227.883,0.5107,200
229.105,0.5141,200
230.328,0.5174,200
231.55,0.5208,200
232.772,0.5241,200
233.993,0.5275,200
235.215,0.5308,200
236.437,0.5342,200
237.659,0.5376,200
238.882,0.5409,200
240.106,0.5443,200
241.329,0.5476,200
242.552,0.551,200
243.775,0.5543,200
244.997,0.5577,200
246.219,0.5611,200
247.441,0.5644,200
248.662,0.5678,200
249.883,0.5711,200
251.105,0.5745,200
252.327,0.5778,200
253.55,0.5812,200
254.773,0.5846,200
255.996,0.5879,200
257.219,0.5913,200
258.441,0.5946,200
259.663,0.598,200
260.885,0.6013,200
262.106,0.6047,200
263.327,0.6081,200
264.549,0.6114,200
265.771,0.6148,200
266.994,0.6181,200
268.217,0.6215,200
269.441,0.6248,200
270.663,0.6282,200
271.886,0.6316,200
273.108,0.6349,200
274.33,0.6383,200
275.551,0.6415,200
276.772,0.6441,200
277.994,0.6458,200
279.216,0.6465,200
280.438,0.6468,200
281.662,0.6464,200
282.886,0.6453,200
284.109,0.6438,200
285.333,0.6418,200
286.556,0.6395,200
287.778,0.637,200
289,0.6343,200
290.222,0.6315,200
291.444,0.6287,200
292.665,0.6258,200
293.887,0.6229,200
