distanceFromStartLine,trackPosition,speedLimit
0.5756,0.6293,220
1.5872,0.6288,220
2.599,0.6283,220
3.611,0.6279,220
4.6233,0.6275,220
5.6358,0.6271,220
6.6486,0.6267,220
7.6615,0.6263,220
8.6747,0.6259,220
9.6882,0.6255,220
10.7019,0.6251,220
11.7157,0.6247,220
12.7298,0.6243,220
13.7441,0.6239,220
14.7587,0.6235,220
15.7734,0.6231,220
16.7884,0.6227,220
17.8036,0.6223,220
18.8189,0.6219,220
19.8346,0.6215,220
20.8504,0.6211,220
21.8664,0.6207,220
22.8826,0.6203,220
23.8991,0.6199,220
24.9157,0.6195,220
25.9326,0.6191,220
26.9496,0.6187,220
27.9669,0.6183,220
28.9844,0.6179,220
30.002,0.6175,220
31.0198,0.6171,220
32.0379,0.6167,220
33.0562,0.6163,220
34.0746,0.6159,220
35.0932,0.6155,220
36.1121,0.6151,220
37.131,0.6147,220
38.1503,0.6143,220
39.1698,0.6139,220
40.1898,0.6135,220
41.2107,0.6131,220
42.2327,0.6127,220
43.2559,0.6123,220
44.2807,0.6119,220
45.307,0.6115,220
46.3349,0.6111,220
47.3644,0.6107,220
48.3955,0.6103,220
49.428,0.6099,220
50.4621,0.6095,220
51.4977,0.6091,220
52.5349,0.6087,220
53.5736,0.6083,220
54.6137,0.6079,220
55.6549,0.6075,220
56.6955,0.6071,220
57.7354,0.6067,220
58.7746,0.6063,220
59.8132,0.6059,220
60.8511,0.6055,220
61.8883,0.6051,220
62.9249,0.6047,220
63.9613,0.6043,220
64.9986,0.6039,220
66.037,0.6035,220
67.0764,0.6031,220
68.1169,0.6027,220
69.1584,0.6023,200
70.2009,0.6019,200
71.244,0.6015,200
72.2871,0.6011,200
73.3304,0.6007,200
74.3737,0.6003,200
75.4172,0.5999,200
76.4605,0.5995,200
77.5039,0.5991,200
78.5473,0.5987,200
79.5907,0.5983,200
80.6341,0.5979,180
81.6775,0.5975,180
82.7201,0.5971,180
83.7598,0.5967,180
84.7952,0.5963,180
85.8247,0.5959,180
86.8388,0.5955,180
87.843,0.5951,180
88.8376,0.5947,180
89.8216,0.5943,180
90.7947,0.5939,180
91.7563,0.5935,160
92.7062,0.5931,160
93.6444,0.5927,160
94.5717,0.5923,160
95.4883,0.5919,160
96.3944,0.5915,160
97.2903,0.5911,160
98.1766,0.5907,160
99.0533,0.5903,160
99.9202,0.5899,160
100.777,0.5895,160
101.625,0.5891,160
102.463,0.5887,140
103.29,0.5883,140
104.109,0.5879,140
104.917,0.5875,140
105.716,0.5871,140
106.505,0.5867,140
107.286,0.5863,140
108.057,0.5859,140
108.819,0.5855,140
109.573,0.5851,140
110.318,0.5847,140
111.054,0.5843,120
111.781,0.5873,120
112.5,0.5934,120
113.21,0.5995,120
113.911,0.6056,120
114.604,0.6117,120
115.288,0.6177,120
115.963,0.6237,120
116.63,0.6298,120
117.288,0.6358,120
117.937,0.6419,120
118.577,0.648,120
119.209,0.6542,120
119.832,0.6603,120
120.447,0.6665,120
121.053,0.6727,120
121.651,0.6788,120
