distanceFromStartLine,trackPosition,speedLimit
0.4554,0.4821,210
1.6237,0.4815,210
2.7919,0.481,210
3.9601,0.4804,210
5.1283,0.4799,210
6.2965,0.4793,210
7.4647,0.4787,210
8.6329,0.4782,210
9.8011,0.4776,210
10.9694,0.4771,210
12.1376,0.4765,210
13.3053,0.476,210
14.4729,0.4754,210
15.6405,0.4749,210
16.8081,0.4743,210
17.9757,0.4738,210
19.1433,0.4732,210
20.3109,0.4727,210
21.4785,0.4721,210
22.6461,0.4716,210
23.8137,0.471,210
24.9813,0.4705,210
26.1489,0.4699,210
27.3165,0.4693,230
28.4841,0.4688,230
29.6517,0.4681,230
30.8193,0.4671,230
31.9864,0.4654,230
33.1534,0.4632,230
34.3204,0.4607,230
35.4872,0.4578,230
36.6536,0.4544,230
37.82,0.4507,230
38.9864,0.4467,230
40.1528,0.4424,210
41.3192,0.4379,210
42.4855,0.4333,210
43.6516,0.4287,230
44.8173,0.4239,210
45.9833,0.4191,210
47.1497,0.4143,230
48.3165,0.4095,230
49.4839,0.4046,210
50.6522,0.3998,230
51.8216,0.3949,230
52.992,0.39,210
54.1635,0.3852,230
55.336,0.3803,230
56.5095,0.3754,210
57.6841,0.3705,230
58.8596,0.3656,210
60.0352,0.3607,230
61.2101,0.3559,230
62.3854,0.351,230
63.561,0.3461,210
64.7365,0.3412,210
65.912,0.3363,230
67.0876,0.3315,230
68.2637,0.3266,230
69.4398,0.3217,230
70.616,0.3168,230
71.7921,0.3119,230
72.9684,0.307,210
74.1452,0.3021,210
75.322,0.2972,230
76.4987,0.2923,230
77.6758,0.2874,230
78.853,0.2825,230
80.0303,0.2777,210
81.2081,0.2728,210
82.3861,0.2679,230
83.5641,0.263,230
84.7421,0.2581,210
85.9207,0.2532,230
87.0995,0.2483,210
88.2791,0.2434,230
89.4595,0.2385,210
90.6409,0.2335,210
91.8232,0.2286,230
93.0054,0.2237,230
94.1877,0.2188,210
95.37,0.2139,230
96.5529,0.209,210
97.7365,0.2041,230
98.9205,0.1991,210
100.105,0.1942,230
101.289,0.1893,230
102.473,0.1844,230
103.658,0.1795,210
104.842,0.1745,230
106.027,0.1696,210
107.212,0.1647,230
108.396,0.1598,210
109.581,0.1549,230
110.766,0.1499,230
111.951,0.145,230
113.136,0.1401,210
114.321,0.1351,230
115.507,0.1302,210
116.692,0.1253,230
117.877,0.1204,210
119.063,0.1154,230
120.248,0.1105,230
121.434,0.1054,230
122.621,0.1,210
123.807,0.094,230
124.992,0.0871,210
126.177,0.0792,230
127.36,0.0701,210
128.543,0.0597,230
129.724,0.0484,230
130.905,0.0361,230
132.086,0.0227,210
133.265,0.0083,230
134.444,-0.0069,210
135.622,-0.023,210
136.799,-0.0397,210
137.976,-0.0569,230
139.153,-0.0744,230
140.329,-0.0921,230
141.507,-0.1101,230
142.684,-0.1281,230
143.861,-0.1462,210
145.038,-0.1644,230
146.216,-0.1825,230
147.393,-0.2007,210
148.57,-0.2189,210
149.748,-0.2371,230
150.926,-0.2553,230
152.105,-0.2733,230
153.283,-0.291,230
154.462,-0.3081,230
155.642,-0.3244,230
156.822,-0.3396,230
158.002,-0.3536,230
159.184,-0.3663,230
160.366,-0.378,230
161.549,-0.3888,230
162.733,-0.3985,230
163.918,-0.4072,230
165.103,-0.415,230
166.288,-0.422,230
167.474,-0.4285,230
168.659,-0.4344,230
169.845,-0.44,230
171.032,-0.4454,230
172.219,-0.4506,230
173.407,-0.4558,230
174.596,-0.4609,230
175.786,-0.4659,230
176.978,-0.471,230
178.17,-0.4762,230
179.363,-0.4817,230
180.557,-0.4878,230
181.751,-0.4948,230
182.945,-0.5028,230
184.14,-0.5118,230
185.335,-0.5216,230
186.53,-0.5321,230
187.725,-0.5435,230
188.922,-0.5557,230
190.118,-0.5685,230
191.315,-0.5818,230
192.513,-0.5955,230
193.712,-0.6095,230
194.912,-0.6237,230
196.112,-0.6381,230
197.313,-0.6525,230
198.516,-0.6671,230
199.719,-0.6816,230
200.923,-0.6962,230
202.129,-0.7108,230
203.335,-0.7255,230
204.543,-0.7401,230
205.799,-0.7544,230
207.089,-0.7668,230
208.382,-0.7773,230
209.678,-0.7859,230
210.977,-0.7925,230
212.278,-0.7971,230
213.581,-0.7997,230
214.886,-0.8004,230
216.191,-0.799,230
217.497,-0.7958,230
218.803,-0.791,230
220.11,-0.7847,230
221.415,-0.7771,230
222.72,-0.7677,230
224.024,-0.7568,230
225.327,-0.7443,230
226.628,-0.7302,230
227.927,-0.7143,230
229.223,-0.6967,230
230.517,-0.6772,230
231.807,-0.6559,230
233.094,-0.6327,230
234.376,-0.6075,230
235.609,-0.5809,230
236.828,-0.5543,230
238.047,-0.5277,230
239.268,-0.5011,230
240.49,-0.4744,230
241.713,-0.4477,230
242.937,-0.4211,230
244.163,-0.3949,230
245.39,-0.3692,230
246.619,-0.3444,230
247.85,-0.3207,230
249.082,-0.2981,230
250.317,-0.2763,230
251.553,-0.2552,230
252.79,-0.2349,230
254.029,-0.2151,230
255.27,-0.1959,230
256.512,-0.177,230
257.755,-0.1585,230
259,-0.1403,230
260.246,-0.1223,230
261.493,-0.1045,230
262.742,-0.0868,230
263.991,-0.0691,230
265.241,-0.0515,230
266.493,-0.0338,230
267.745,-0.0161,230
268.998,0.0021,230
270.251,0.0209,230
271.504,0.0406,230
272.756,0.0613,230
274.008,0.0834,230
275.257,0.1069,230
276.505,0.1318,230
277.751,0.1583,230
278.995,0.1861,230
280.237,0.2152,230
281.478,0.2456,230
282.718,0.2772,230
283.956,0.3101,230
285.209,0.3438,230
286.486,0.3766,230
287.769,0.4081,230
289.06,0.438,230
290.357,0.4662,230
291.661,0.4925,230
292.971,0.5168,230
294.288,0.5392,230
295.61,0.5594,230
296.937,0.5777,230
298.267,0.5941,230
299.599,0.6089,230
300.933,0.6221,230
302.268,0.6339,230
303.605,0.644,230
304.943,0.6525,230
306.281,0.6596,230
307.62,0.6651,230
308.96,0.6691,230
310.302,0.6713,230
311.646,0.6719,230
312.989,0.6706,230
314.333,0.6673,230
315.677,0.6621,230
317.021,0.655,230
318.363,0.6462,230
319.705,0.6358,230
321.044,0.6242,230
322.382,0.6115,230
323.719,0.5978,230
325.052,0.5835,230
326.384,0.5685,230
327.713,0.5527,230
329.04,0.5359,230
330.365,0.5183,230
331.688,0.4998,230
333.008,0.4803,230
334.325,0.4597,230
335.639,0.4378,230
336.949,0.4145,230
338.254,0.3895,230
339.554,0.3627,230
340.848,0.3341,230
342.135,0.3036,230
343.417,0.2711,230
344.691,0.2366,230
345.957,0.2003,230
347.216,0.1619,230
348.455,0.1225,230
349.692,0.0838,230
350.932,0.0462,230
352.175,0.0099,230
353.421,-0.0248,230
354.671,-0.058,230
355.924,-0.0898,230
357.181,-0.1203,230
358.44,-0.1497,230
359.703,-0.1778,230
360.969,-0.2046,230
362.237,-0.2301,230
363.508,-0.2544,230
364.78,-0.2778,230
366.054,-0.3002,230
367.329,-0.3218,230
368.605,-0.3428,230
369.883,-0.363,230
371.161,-0.3828,230
372.441,-0.4019,230
373.721,-0.4206,230
375.002,-0.4387,230
376.284,-0.4563,230
377.568,-0.4735,230
378.851,-0.4901,250
380.136,-0.5063,250
381.422,-0.5219,250
382.708,-0.537,250
383.995,-0.5517,250
385.283,-0.5658,250
386.572,-0.5794,250
387.861,-0.5924,250
389.151,-0.605,250
390.441,-0.6171,250
391.733,-0.6286,250
393.024,-0.6396,250
394.317,-0.6502,230
395.61,-0.6602,250
396.903,-0.6696,250
398.197,-0.6786,250
399.491,-0.6871,250
400.786,-0.695,250
402.082,-0.7024,230
403.379,-0.7093,230
404.677,-0.7157,250
405.976,-0.7215,250
407.276,-0.7269,250
408.578,-0.7317,250
409.881,-0.736,250
411.185,-0.7398,230
412.489,-0.7431,250
413.796,-0.7459,250
415.103,-0.7481,250
416.41,-0.7498,230
417.717,-0.751,230
419.025,-0.7516,230
420.333,-0.7517,230
421.643,-0.7513,230
422.953,-0.7504,230
424.262,-0.7489,230
425.572,-0.7469,230
426.882,-0.7444,230
428.193,-0.7414,230
429.504,-0.7378,230
430.815,-0.7337,210
432.127,-0.729,210
433.439,-0.7239,210
434.75,-0.7182,210
436.062,-0.7119,210
437.374,-0.7052,210
438.685,-0.6979,210
439.996,-0.69,190
441.306,-0.6817,190
442.616,-0.6728,190
443.925,-0.6634,190
445.235,-0.6534,190
446.545,-0.643,190
447.853,-0.632,190
449.162,-0.6205,170
450.469,-0.6085,170
451.775,-0.5959,170
453.077,-0.5828,170
454.374,-0.5693,170
455.665,-0.5553,170
456.947,-0.5408,170
458.22,-0.5254,170
459.481,-0.5091,150
460.728,-0.4915,150
461.961,-0.4728,150
463.179,-0.4527,150
464.379,-0.4314,150
465.563,-0.409,150
466.728,-0.3854,150
467.877,-0.3605,150
469.008,-0.3343,130
470.123,-0.3066,130
471.222,-0.2775,130
472.306,-0.2472,130
473.374,-0.2157,130
474.426,-0.1831,130
475.463,-0.1493,130
476.486,-0.1142,130
477.495,-0.0779,130
478.488,-0.0406,130
479.467,-0.0024,130
480.432,0.0364,130
481.392,0.0744,130
482.348,0.1112,130
483.299,0.1467,130
484.246,0.1811,130
485.188,0.2142,130
486.126,0.246,130
487.06,0.2765,130
487.99,0.3056,130
488.915,0.3333,130
489.836,0.3596,130
490.751,0.3843,130
491.662,0.4075,130
492.567,0.429,130
493.465,0.4489,130
494.357,0.4673,130
495.242,0.4841,130
496.118,0.4993,130
496.987,0.5131,130
497.847,0.5254,130
498.697,0.5364,130
499.538,0.5463,130
500.37,0.5551,130
501.191,0.563,130
502.005,0.5702,130
502.817,0.5774,130
503.628,0.5845,130
504.44,0.5916,130
505.251,0.5988,130
506.062,0.6061,130
506.872,0.6134,130
507.681,0.6209,130
508.489,0.6285,130
509.298,0.6362,130
510.107,0.6438,130
510.917,0.6514,130
511.729,0.659,130
512.541,0.6666,130
513.355,0.6741,130
514.17,0.6816,130
514.986,0.689,130
515.803,0.6961,130
516.622,0.703,130
517.442,0.7094,130
518.265,0.7153,130
519.089,0.7206,130
519.914,0.7253,130
520.741,0.7295,130
521.568,0.7333,130
522.397,0.7368,130
523.227,0.74,130
524.057,0.7431,130
524.888,0.746,130
525.719,0.7489,130
526.549,0.7519,130
527.38,0.7549,130
528.211,0.758,130
529.042,0.7611,130
529.873,0.7639,130
530.706,0.7665,130
531.539,0.769,130
532.373,0.7714,130
533.207,0.7735,130
534.043,0.7754,130
534.879,0.777,130
535.717,0.778,130
536.555,0.7785,130
537.394,0.7782,130
538.233,0.7771,130
539.073,0.7752,130
539.914,0.7723,130
540.754,0.7686,130
541.595,0.7644,130
542.436,0.7596,130
543.276,0.7545,130
544.116,0.7492,130
544.956,0.7437,130
545.795,0.7381,130
546.633,0.7324,130
547.47,0.7269,130
548.307,0.7214,130
549.142,0.7158,130
549.978,0.71,130
550.813,0.7039,130
551.648,0.6977,130
552.483,0.6912,130
553.317,0.6846,130
554.151,0.6778,130
554.984,0.6708,130
555.817,0.6636,130
556.65,0.6563,130
557.481,0.6488,130
558.312,0.6413,130
559.142,0.6336,130
559.971,0.6258,150
560.799,0.6182,150
561.625,0.6107,150
562.45,0.6033,150
563.274,0.5961,150
564.096,0.5891,150
564.917,0.5824,130
565.736,0.5759,130
566.552,0.5695,130
567.367,0.5635,130
568.179,0.5578,130
568.989,0.5523,130
569.796,0.5473,130
570.6,0.5425,130
571.402,0.5381,130
572.202,0.534,130
572.999,0.5302,130
573.796,0.5266,130
574.593,0.5233,130
575.389,0.5202,130
576.186,0.5173,130
576.984,0.5148,130
577.781,0.5125,130
578.578,0.5104,130
579.375,0.5086,130
580.17,0.507,130
580.965,0.5057,130
581.76,0.5046,130
582.553,0.5037,130
583.346,0.503,130
584.139,0.5026,130
584.931,0.5023,130
585.722,0.502,130
586.513,0.5018,130
587.303,0.5017,130
588.092,0.5019,130
588.88,0.5023,130
589.666,0.5029,130
590.452,0.5038,130
591.236,0.505,130
592.021,0.5062,150
592.806,0.5073,150
593.591,0.5084,150
594.377,0.5094,150
595.163,0.5104,150
595.949,0.5113,150
596.736,0.512,150
597.524,0.5125,150
598.312,0.5126,150
599.1,0.5121,150
599.889,0.5109,150
600.679,0.5091,150
601.468,0.5066,150
602.258,0.5037,150
603.047,0.5005,150
603.836,0.4971,150
604.626,0.4936,150
605.415,0.49,150
606.204,0.4863,150
606.994,0.4826,150
607.783,0.4792,150
608.573,0.476,150
609.362,0.473,150
610.152,0.4703,150
610.942,0.468,150
611.732,0.4659,150
612.521,0.464,150
613.312,0.4622,150
614.103,0.4605,150
614.896,0.459,150
615.689,0.4577,150
616.484,0.4566,150
617.28,0.4558,150
618.077,0.4552,150
618.875,0.4546,150
619.674,0.4535,150
620.475,0.4519,150
621.278,0.4496,150
622.081,0.4464,150
622.886,0.4423,150
623.691,0.4373,150
624.497,0.4312,150
625.304,0.4241,150
626.11,0.4158,150
626.916,0.4062,150
627.721,0.3949,150
628.525,0.3818,150
629.325,0.3669,150
630.123,0.3499,150
630.917,0.3308,150
631.706,0.3096,150
632.491,0.2868,150
633.273,0.2623,150
634.05,0.2362,150
634.822,0.2086,150
635.59,0.1795,150
636.353,0.149,150
637.112,0.1171,150
637.865,0.084,150
638.614,0.0496,150
639.358,0.0141,150
640.097,-0.0226,150
640.831,-0.0604,150
641.564,-0.0992,150
642.314,-0.1378,150
643.072,-0.1756,150
643.838,-0.2127,150
644.611,-0.2493,150
645.391,-0.2854,150
646.178,-0.321,150
646.973,-0.3558,150
647.776,-0.3898,150
648.586,-0.423,150
649.405,-0.4554,150
650.232,-0.4868,150
651.067,-0.5171,150
651.91,-0.5464,150
652.761,-0.5744,150
653.621,-0.6012,150
654.488,-0.6266,150
655.364,-0.6506,150
656.247,-0.6732,150
657.137,-0.6943,150
658.034,-0.714,150
658.938,-0.732,150
659.848,-0.7485,150
660.765,-0.7634,150
661.686,-0.7767,150
662.613,-0.7884,150
663.544,-0.7986,150
664.478,-0.8071,150
665.414,-0.814,150
666.352,-0.8192,150
667.292,-0.8227,150
668.233,-0.8246,150
669.174,-0.8248,150
670.116,-0.8234,150
671.057,-0.8204,150
671.997,-0.8157,150
672.936,-0.8094,150
673.873,-0.8015,150
674.808,-0.792,150
675.741,-0.7808,150
676.67,-0.768,150
677.596,-0.7536,150
678.517,-0.7376,150
679.435,-0.72,150
680.348,-0.7007,150
681.256,-0.6799,150
682.158,-0.6575,150
683.055,-0.6335,150
683.945,-0.608,150
684.829,-0.5811,150
685.666,-0.5528,150
686.432,-0.525,150
687.202,-0.4984,150
687.977,-0.4729,150
688.756,-0.4485,150
689.54,-0.4253,150
690.327,-0.4032,150
691.119,-0.3824,150
691.914,-0.3626,150
692.713,-0.344,150
693.516,-0.3265,150
694.322,-0.3102,150
695.13,-0.2952,150
695.942,-0.2813,150
696.756,-0.2687,150
697.573,-0.2572,150
698.391,-0.2471,150
699.212,-0.2381,150
700.034,-0.2304,150
700.858,-0.224,150
701.683,-0.2188,170
702.509,-0.2148,170
703.336,-0.2121,170
704.163,-0.2107,170
704.991,-0.2105,170
705.818,-0.2116,170
706.646,-0.2139,170
707.473,-0.2175,170
708.3,-0.2224,170
709.126,-0.2285,170
709.95,-0.2359,170
