distanceFromStartLine,trackPosition,speedLimit
0.379,0.7362,200
1.6947,0.7317,200
3.0094,0.7272,200
4.3233,0.7227,200
5.6365,0.7181,200
6.9498,0.7136,200
8.263,0.7091,200
9.5763,0.7045,200
10.8903,0.7,200
12.2051,0.6954,200
13.521,0.6909,200
14.8381,0.6863,200
16.1564,0.6818,200
17.476,0.6772,200
18.7968,0.6726,200
20.1188,0.668,200
21.442,0.6635,200
22.7665,0.6589,200
24.0922,0.6543,200
25.4191,0.6497,200
26.7473,0.6451,200
28.0767,0.6405,200
29.4073,0.6359,200
30.7392,0.6313,200
32.0723,0.6267,200
33.4066,0.6221,200
34.7422,0.6175,200
36.079,0.6128,200
37.417,0.6082,200
38.7562,0.6036,200
40.0967,0.5989,200
41.4384,0.5943,200
42.7814,0.5896,200
44.1255,0.585,220
45.4703,0.5804,220
46.8151,0.5757,220
48.1599,0.5711,220
49.5047,0.5664,220
50.8494,0.5618,220
52.1935,0.5571,220
53.5376,0.5525,220
54.8817,0.5478,220
56.2258,0.5432,220
57.5699,0.5385,200
58.9141,0.5337,200
60.2582,0.5284,220
61.6019,0.5224,200
62.9453,0.5156,200
64.2888,0.5083,220
65.6321,0.5004,220
66.9749,0.4919,200
68.3176,0.483,220
69.6602,0.4737,200
71.0023,0.4642,220
72.3444,0.4544,220
73.6865,0.4446,200
75.0286,0.4346,220
76.3707,0.4246,200
77.7128,0.4146,220
79.0549,0.4045,220
80.397,0.3945,200
81.7391,0.3844,200
83.0812,0.3743,220
84.4235,0.3643,220
85.7656,0.3542,220
87.1077,0.3442,220
88.4498,0.3341,220
89.7919,0.3241,200
91.134,0.314,200
92.4761,0.304,220
93.8185,0.2939,220
95.1606,0.2839,220
96.5027,0.2738,220
97.8448,0.2638,200
99.1869,0.2538,220
100.529,0.2437,220
101.871,0.2337,200
103.213,0.2236,220
104.555,0.2136,200
105.897,0.2036,220
107.24,0.1935,200
108.582,0.1835,220
109.924,0.1734,220
111.266,0.1634,200
112.608,0.1534,220
113.95,0.1433,200
115.292,0.1333,220
116.634,0.1232,200
117.976,0.1132,220
119.318,0.1032,220
120.661,0.0931,200
122.003,0.0831,220
123.345,0.0731,200
124.687,0.063,220
126.029,0.053,200
127.371,0.0429,220
128.713,0.0329,220
130.055,0.0229,200
131.397,0.0128,220
132.739,0.0028,200
134.082,-0.0073,220
135.424,-0.0173,200
136.766,-0.0273,220
138.108,-0.0374,220
139.45,-0.0474,200
140.792,-0.0575,220
142.134,-0.0675,200
143.476,-0.0775,220
144.818,-0.0876,200
146.16,-0.0976,220
147.503,-0.1077,220
148.845,-0.1177,200
150.187,-0.1277,220
151.529,-0.1379,200
152.87,-0.1486,200
154.212,-0.16,200
155.553,-0.1722,220
156.894,-0.1849,220
158.235,-0.1982,220
159.575,-0.212,220
160.914,-0.2263,200
162.254,-0.241,220
163.593,-0.2559,220
164.932,-0.271,200
166.271,-0.2863,200
167.61,-0.3016,220
168.949,-0.317,220
170.289,-0.3324,220
171.631,-0.3479,220
172.973,-0.3634,220
174.317,-0.3788,220
175.662,-0.3943,220
177.008,-0.4098,220
178.355,-0.4254,220
179.703,-0.4409,220
181.053,-0.4565,220
182.404,-0.472,220
183.756,-0.4876,220
185.109,-0.5032,220
186.464,-0.5188,220
187.82,-0.5344,220
189.177,-0.55,220
190.535,-0.5656,220
191.894,-0.5813,220
193.255,-0.597,220
194.616,-0.6128,220
195.978,-0.6291,220
197.341,-0.6462,220
198.704,-0.6644,220
200.066,-0.6837,220
201.429,-0.7037,220
202.792,-0.7246,220
204.155,-0.7464,220
205.553,-0.7686,220
207.01,-0.7895,220
208.473,-0.8082,220
209.942,-0.8247,220
211.415,-0.8389,220
212.893,-0.8507,220
214.375,-0.86,220
215.861,-0.8668,220
217.349,-0.8711,220
218.838,-0.8728,220
220.33,-0.8718,220
221.822,-0.8683,220
223.314,-0.8622,220
224.805,-0.8535,220
226.295,-0.8422,220
227.783,-0.8283,220
229.269,-0.8118,220
230.751,-0.7927,220
232.229,-0.771,220
233.703,-0.7468,220
235.143,-0.7201,220
236.526,-0.6929,220
237.91,-0.6656,220
239.295,-0.6384,220
240.682,-0.6111,220
242.07,-0.5837,220
243.459,-0.5564,220
244.849,-0.529,220
246.24,-0.5016,220
247.629,-0.4743,220
249.018,-0.4469,220
250.406,-0.4196,220
251.793,-0.3923,220
253.179,-0.365,220
254.563,-0.3378,220
255.948,-0.3105,220
257.333,-0.2832,220
258.719,-0.256,220
260.106,-0.2287,220
261.494,-0.2012,220
262.881,-0.1732,220
264.268,-0.1444,220
265.654,-0.1145,220
267.039,-0.0834,220
268.423,-0.0515,220
269.807,-0.0187,220
271.19,0.015,220
272.572,0.0495,220
273.955,0.0845,220
275.337,0.1199,220
276.72,0.1556,220
278.103,0.1916,220
279.487,0.2276,220
280.871,0.2638,220
282.256,0.3001,220
283.641,0.337,220
285.036,0.3745,220
286.468,0.411,220
287.908,0.4454,220
289.356,0.4779,220
290.811,0.5084,220
292.275,0.5368,220
293.745,0.5629,220
295.221,0.5866,220
296.705,0.6078,220
298.194,0.6265,220
299.688,0.6426,220
301.187,0.6561,220
302.69,0.6669,220
304.196,0.6751,220
305.705,0.6806,220
307.216,0.6833,220
308.728,0.6835,220
310.241,0.6814,220
311.754,0.6774,220
313.266,0.6717,220
314.778,0.6645,220
316.288,0.6561,220
317.796,0.6468,220
319.302,0.6366,220
320.806,0.6256,220
322.307,0.614,220
323.805,0.6017,220
325.3,0.5887,220
326.793,0.5749,220
328.284,0.5602,220
329.772,0.5445,220
331.258,0.5279,220
332.741,0.51,220
334.222,0.4907,220
335.699,0.4695,220
337.172,0.4462,220
338.64,0.4206,220
340.103,0.3926,220
341.56,0.3621,220
343.011,0.3291,220
344.454,0.2934,220
345.889,0.2553,220
347.316,0.2146,220
348.713,0.1725,220
350.109,0.131,220
351.508,0.0901,220
352.911,0.0497,220
354.316,0.01,220
355.725,-0.0292,220
357.136,-0.0677,220
358.55,-0.1056,220
359.968,-0.143,220
361.389,-0.1797,220
362.812,-0.2158,220
364.239,-0.2514,220
365.668,-0.2862,220
367.101,-0.3205,220
368.536,-0.3542,220
369.974,-0.3871,220
371.416,-0.419,220
372.861,-0.4497,220
374.31,-0.4786,220
375.762,-0.5058,220
377.218,-0.5311,220
378.677,-0.5543,220
380.139,-0.5759,220
381.604,-0.5956,220
383.072,-0.6135,220
384.542,-0.6296,220
386.015,-0.6443,220
387.489,-0.6575,220
388.966,-0.6695,220
390.445,-0.6805,220
391.926,-0.6905,220
393.408,-0.6998,220
394.892,-0.7084,220
396.377,-0.7162,220
397.864,-0.7234,240
399.351,-0.7299,240
400.839,-0.7357,240
402.328,-0.7409,240
403.816,-0.7454,240
405.305,-0.7492,240
406.794,-0.7524,240
408.283,-0.7549,240
409.772,-0.7567,240
411.262,-0.7578,240
412.751,-0.7583,220
414.24,-0.758,240
415.73,-0.7571,240
417.219,-0.7555,240
418.708,-0.7532,240
420.197,-0.7503,240
421.686,-0.7466,220
423.174,-0.7423,240
424.663,-0.7373,240
426.151,-0.7316,240
427.638,-0.7252,240
429.125,-0.7182,240
430.612,-0.7104,220
432.098,-0.702,240
433.584,-0.6929,240
435.068,-0.6832,220
436.548,-0.6727,220
438.022,-0.6617,220
439.488,-0.65,220
440.944,-0.6378,220
442.388,-0.6249,220
443.819,-0.6116,220
445.235,-0.5977,220
446.634,-0.5834,220
448.015,-0.5686,220
449.376,-0.5535,200
450.718,-0.538,200
452.041,-0.5222,200
453.343,-0.506,200
454.627,-0.4896,200
455.891,-0.4728,200
457.138,-0.4559,200
458.366,-0.4386,180
459.576,-0.4212,180
460.769,-0.4035,180
461.944,-0.3856,180
463.101,-0.3675,180
464.242,-0.3491,180
465.366,-0.3303,180
466.473,-0.3109,180
467.563,-0.2908,160
468.635,-0.2699,160
469.692,-0.248,160
470.731,-0.2253,160
471.755,-0.2021,160
472.763,-0.1783,160
473.756,-0.154,160
474.732,-0.1292,160
475.693,-0.1039,140
476.639,-0.0782,140
477.569,-0.0521,140
478.485,-0.026,140
479.387,0.0003,140
480.274,0.0267,140
481.153,0.0521,140
482.024,0.0762,140
482.886,0.0991,140
483.739,0.1207,120
484.583,0.1413,120
485.419,0.161,120
486.246,0.1798,120
487.064,0.198,120
487.874,0.2154,120
488.674,0.2323,120
489.466,0.2489,120
490.255,0.2656,120
491.043,0.2826,120
491.83,0.3,120
492.617,0.3178,120
493.406,0.3356,120
494.197,0.3536,120
494.989,0.3717,120
495.783,0.3899,120
496.579,0.4083,120
497.378,0.4267,120
498.179,0.4451,120
498.982,0.4635,120
499.788,0.4818,120
500.596,0.5,120
501.407,0.5182,120
502.219,0.5362,120
503.034,0.5542,120
503.851,0.5723,120
504.67,0.5904,120
505.492,0.6081,120
506.318,0.6254,120
507.147,0.6422,120
507.979,0.6586,120
508.815,0.6744,120
509.654,0.6895,120
510.497,0.7038,120
511.343,0.7172,120
512.193,0.7297,120
513.047,0.7411,120
513.904,0.7513,120
514.764,0.7605,120
515.627,0.7685,120
516.492,0.7753,120
517.361,0.7809,120
518.231,0.7853,120
519.103,0.7885,120
519.975,0.7905,120
520.846,0.7913,120
521.718,0.7913,120
522.589,0.7906,120
523.461,0.7895,120
524.332,0.788,120
525.204,0.7863,120
526.077,0.7846,120
526.951,0.7829,120
527.825,0.7812,120
528.699,0.7798,120
529.575,0.7784,120
530.452,0.7773,120
531.329,0.7764,120
532.207,0.7757,120
533.085,0.7751,120
533.964,0.7748,120
534.842,0.7748,120
535.72,0.775,120
536.6,0.7753,120
537.482,0.7757,120
538.366,0.776,120
539.252,0.7764,120
540.14,0.7767,120
541.03,0.7769,120
541.922,0.7769,120
542.816,0.7766,120
543.713,0.7757,120
544.612,0.7742,120
545.513,0.7718,120
546.416,0.7687,120
547.321,0.765,120
548.227,0.7607,120
549.135,0.7561,120
550.044,0.7511,120
550.954,0.746,120
551.865,0.7407,120
552.777,0.7353,120
553.69,0.73,120
554.603,0.7247,120
555.516,0.7196,120
556.429,0.7146,120
557.342,0.7098,120
558.255,0.7052,120
559.168,0.7008,120
560.08,0.6965,120
560.992,0.6925,120
561.902,0.6888,120
562.814,0.6851,120
563.727,0.6815,120
564.641,0.6779,120
565.556,0.6743,120
566.473,0.6707,120
567.391,0.6671,120
568.31,0.6634,120
569.231,0.6596,120
570.153,0.6556,120
571.077,0.6515,120
572.001,0.6472,140
572.926,0.6425,140
573.85,0.6378,140
574.773,0.6331,140
575.696,0.6283,140
576.617,0.6238,120
577.537,0.6194,120
578.455,0.6152,120
579.373,0.6112,120
580.291,0.6073,120
581.207,0.6037,120
582.122,0.6004,120
583.036,0.5974,120
583.95,0.5946,120
584.862,0.5922,120
585.773,0.5901,120
586.684,0.5881,120
587.592,0.5866,120
588.499,0.5853,120
589.404,0.5843,120
590.307,0.5836,120
591.21,0.5834,120
592.111,0.5835,120
593.011,0.5838,120
593.911,0.5844,120
594.811,0.5852,120
595.713,0.5863,120
596.616,0.5875,120
597.521,0.589,120
598.426,0.5907,120
599.334,0.5924,120
600.244,0.594,120
601.155,0.5954,120
602.069,0.5964,120
602.985,0.5968,120
603.904,0.5963,140
604.824,0.5949,140
605.744,0.5923,140
606.664,0.5885,140
607.584,0.5833,140
608.503,0.5768,140
609.422,0.5691,140
610.339,0.5604,140
611.255,0.5508,140
612.171,0.5406,140
613.084,0.53,140
613.997,0.5192,140
614.908,0.5085,140
615.817,0.4969,140
616.726,0.4848,140
617.633,0.4724,140
618.538,0.4594,140
619.442,0.4456,140
620.343,0.4307,140
621.242,0.4146,140
622.138,0.3973,140
623.03,0.3786,140
623.92,0.3589,140
624.806,0.3382,140
625.689,0.3167,140
626.568,0.2943,140
