distanceFromStartLine,trackPosition,speedLimit
0.4554,0.4821,230
1.6237,0.4815,230
2.7919,0.481,230
3.9601,0.4804,230
5.1283,0.4799,230
6.2965,0.4793,230
7.4647,0.4787,230
8.6329,0.4782,230
9.8011,0.4776,230
10.9694,0.4771,230
12.1376,0.4765,230
13.3053,0.476,230
14.4729,0.4754,230
15.6405,0.4749,230
16.8081,0.4743,230
17.9757,0.4738,230
19.1433,0.4732,230
20.3109,0.4727,230
21.4785,0.4721,230
22.6461,0.4716,230
23.8137,0.471,230
24.9813,0.4705,230
26.1489,0.4699,230
27.3165,0.4693,250
28.4841,0.4688,250
29.6517,0.4681,250
30.8193,0.4671,250
31.9864,0.4654,250
33.1534,0.4632,250
34.3204,0.4607,250
35.4872,0.4578,250
36.6536,0.4544,250
37.82,0.4507,250
38.9864,0.4467,250
40.1528,0.4424,230
41.3192,0.4379,230
42.4855,0.4333,230
43.6516,0.4287,250
44.8173,0.4239,230
45.9833,0.4191,230
47.1497,0.4143,250
48.3165,0.4095,250
49.4839,0.4046,230
50.6522,0.3998,250
51.8216,0.3949,250
52.992,0.39,230
54.1635,0.3852,250
55.336,0.3803,250
56.5095,0.3754,230
57.6841,0.3705,250
58.8596,0.3656,230
60.0352,0.3607,250
61.2101,0.3559,250
62.3854,0.351,250
63.561,0.3461,230
64.7365,0.3412,230
65.912,0.3363,250
67.0876,0.3315,250
68.2637,0.3266,250
69.4398,0.3217,250
70.616,0.3168,250
71.7921,0.3119,250
72.9684,0.307,230
74.1452,0.3021,230
75.322,0.2972,250
76.4987,0.2923,250
77.6758,0.2874,250
78.853,0.2825,250
80.0303,0.2777,230
81.2081,0.2728,230
82.3861,0.2679,250
83.5641,0.263,250
84.7421,0.2581,230
85.9207,0.2532,250
87.0995,0.2483,230
88.2791,0.2434,250
89.4595,0.2385,230
90.6409,0.2335,230
91.8232,0.2286,250
93.0054,0.2237,250
94.1877,0.2188,230
95.37,0.2139,250
96.5529,0.209,230
97.7365,0.2041,250
98.9205,0.1991,230
100.105,0.1942,250
101.289,0.1893,250
102.473,0.1844,250
103.658,0.1795,230
104.842,0.1745,250
106.027,0.1696,230
107.212,0.1647,250
108.396,0.1598,230
109.581,0.1549,250
110.766,0.1499,250
111.951,0.145,250
113.136,0.1401,230
114.321,0.1351,250
115.507,0.1302,230
116.692,0.1253,250
117.877,0.1204,230
119.063,0.1154,250
120.248,0.1105,250
121.434,0.1054,250
122.621,0.1,230
123.807,0.094,250
124.992,0.0871,230
126.177,0.0792,250
127.36,0.0701,230
128.543,0.0597,250
129.724,0.0484,250
130.905,0.0361,250
132.086,0.0227,230
133.265,0.0083,250
134.444,-0.0069,230
135.622,-0.023,230
136.799,-0.0397,230
137.976,-0.0569,250
139.153,-0.0744,250
140.329,-0.0921,250
141.507,-0.1101,250
142.684,-0.1281,250
143.861,-0.1462,230
145.038,-0.1644,250
146.216,-0.1825,250
147.393,-0.2007,230
148.57,-0.2189,230
149.748,-0.2371,250
150.926,-0.2553,250
152.105,-0.2733,250
153.283,-0.291,250
154.462,-0.3081,250
155.642,-0.3244,250
156.822,-0.3396,250
158.002,-0.3536,250
159.184,-0.3663,250
160.366,-0.378,250
161.549,-0.3888,250
162.733,-0.3985,250
163.918,-0.4072,250
