distanceFromStartLine,trackPosition,speedLimit
0.5207,-0.5756,250
1.6853,-0.576,250
2.8507,-0.5764,250
4.0169,-0.5768,250
5.1844,-0.5772,250
6.3532,-0.5776,250
7.5234,-0.578,250
8.695,-0.5784,250
9.8679,-0.5788,250
11.0421,-0.5792,250
12.2177,-0.5796,250
13.3947,-0.58,250
14.573,-0.5804,250
15.7526,-0.5807,250
16.9337,-0.5811,250
18.116,-0.5815,250
19.2997,-0.5819,250
20.4848,-0.5823,250
21.6712,-0.5827,250
22.8589,-0.5831,250
24.048,-0.5835,250
25.2385,-0.5839,250
26.4303,-0.5842,250
27.6233,-0.5842,250
28.8175,-0.5836,250
30.0127,-0.5823,250
31.2085,-0.58,250
32.4048,-0.5768,250
33.6022,-0.5729,250
34.8005,-0.5684,250
35.9997,-0.5631,250
37.1999,-0.5572,250
38.401,-0.5507,250
39.6031,-0.5439,250
40.8065,-0.5367,250
42.011,-0.5293,250
43.2167,-0.5218,250
44.4237,-0.5141,250
45.632,-0.5064,250
46.8416,-0.4987,250
48.0524,-0.4909,250
49.2647,-0.4831,250
50.4782,-0.4753,250
51.6931,-0.4675,250
52.9092,-0.4596,250
54.1268,-0.4518,250
55.3456,-0.444,250
56.5658,-0.4361,250
57.7872,-0.4283,250
59.0101,-0.4204,250
60.2342,-0.4126,250
61.4596,-0.4047,250
62.6863,-0.3968,250
63.9144,-0.3889,250
65.1438,-0.381,250
66.3744,-0.3731,250
67.6064,-0.3652,250
68.8397,-0.3573,250
70.0743,-0.3493,250
71.3102,-0.3414,250
72.5474,-0.3334,250
73.7859,-0.3255,250
75.0258,-0.3175,250
76.2669,-0.3095,250
77.5094,-0.3016,250
78.7531,-0.2936,250
79.998,-0.2855,250
81.244,-0.277,250
82.4906,-0.268,250
83.7377,-0.2581,250
84.9847,-0.2473,250
86.2311,-0.2354,250
87.4766,-0.2222,250
88.7207,-0.2077,250
89.9629,-0.1918,250
91.2028,-0.1745,250
92.4399,-0.1557,250
93.6739,-0.1355,250
94.9045,-0.1137,250
96.1311,-0.0906,250
97.3535,-0.0659,250
98.5714,-0.0398,250
99.7845,-0.0122,250
100.994,0.0162,250
102.206,0.0447,250
103.42,0.0729,250
104.637,0.101,250
105.859,0.1288,250
107.086,0.1563,250
108.318,0.1833,250
109.555,0.2097,250
110.799,0.2355,250
112.049,0.2604,250
113.305,0.2845,250
114.567,0.3077,250
115.833,0.3301,250
117.102,0.3518,250
118.375,0.3728,250
119.651,0.3934,250
120.929,0.4135,250
122.211,0.4328,250
123.496,0.4515,250
124.785,0.4694,250
126.077,0.4867,250
127.372,0.5032,250
128.67,0.5188,250
129.972,0.5333,250
131.277,0.5468,250
132.585,0.5593,250
133.895,0.5708,250
135.207,0.5815,250
136.521,0.5915,250
137.836,0.601,250
139.152,0.61,250
140.469,0.6185,250
141.787,0.6264,250
143.106,0.6337,250
144.426,0.6403,250
145.747,0.6463,250
147.069,0.6518,250
148.391,0.6567,250
149.714,0.6611,250
151.037,0.665,250
152.359,0.6684,250
153.682,0.6714,250
155.004,0.6741,250
156.324,0.6765,250
157.644,0.6787,250
158.962,0.6807,250
160.279,0.6826,250
161.593,0.6844,250
162.905,0.6862,250
164.212,0.6878,250
165.515,0.6895,250
166.814,0.6911,250
168.11,0.6928,250
169.401,0.6945,250
170.689,0.6962,250
171.974,0.698,250
173.254,0.6999,250
174.531,0.7019,250
175.804,0.7039,250
177.073,0.706,250
178.337,0.7083,250
179.598,0.7106,250
180.856,0.7131,250
182.11,0.7156,250
183.363,0.7182,250
184.616,0.7208,250
185.868,0.7234,250
187.121,0.7261,250
188.375,0.7287,250
189.629,0.7313,250
190.884,0.7338,250
192.139,0.7362,250
193.395,0.7383,250
194.649,0.7402,250
195.904,0.7413,250
197.159,0.7417,250
198.414,0.7412,250
199.669,0.7397,250
200.924,0.7373,250
202.178,0.734,250
203.432,0.73,250
204.684,0.7255,250
205.935,0.7208,250
207.185,0.7158,250
208.433,0.7108,250
209.679,0.7057,250
210.923,0.7008,250
212.165,0.6959,250
213.406,0.6912,250
214.645,0.6867,250
215.883,0.6824,250
217.118,0.6782,250
218.352,0.6743,250
219.583,0.6706,250
220.811,0.6671,250
222.037,0.6639,250
223.261,0.6608,250
224.482,0.658,250
225.7,0.6554,250
226.914,0.653,250
228.127,0.6508,250
229.336,0.6488,250
230.542,0.6471,250
231.746,0.6455,250
232.947,0.644,250
234.146,0.6428,250
235.342,0.6418,250
236.536,0.6409,250
237.727,0.6401,250
238.917,0.6396,250
240.104,0.6391,250
241.289,0.6388,250
242.471,0.6387,250
243.652,0.6387,250
244.831,0.6388,250
246.008,0.639,250
247.182,0.6394,250
248.355,0.6399,250
249.527,0.6406,250
250.696,0.6413,250
251.863,0.6422,250
253.029,0.6433,250
254.192,0.6444,250
255.354,0.6458,250
256.514,0.6472,250
257.673,0.6488,250
258.829,0.6506,250
259.984,0.6525,250
261.137,0.6546,250
262.288,0.6568,250
263.438,0.6592,250
264.585,0.6618,250
265.731,0.6645,250
266.875,0.6673,250
268.018,0.6704,250
269.159,0.6735,250
270.298,0.6769,250
271.435,0.6804,250
272.572,0.684,250
273.707,0.6878,250
274.844,0.6916,250
275.982,0.6953,250
277.121,0.699,250
278.261,0.7026,250
279.403,0.7061,250
280.547,0.7092,250
281.692,0.7118,250
282.839,0.7138,250
283.987,0.715,250
285.137,0.7156,250
286.288,0.7156,250
287.441,0.715,250
288.594,0.7141,250
289.747,0.7128,250
290.901,0.7114,250
292.055,0.7099,250
293.209,0.7082,250
294.363,0.7066,250
295.516,0.7049,250
296.669,0.7033,250
297.821,0.7017,250
298.973,0.7001,250
300.125,0.6983,250
301.277,0.6964,250
302.43,0.6944,250
303.584,0.6922,250
304.738,0.6898,250
305.893,0.6871,250
307.048,0.684,250
308.204,0.6803,250
309.361,0.6758,250
310.518,0.6705,250
311.675,0.6643,250
312.832,0.6568,250
313.988,0.6479,250
315.143,0.6373,250
316.295,0.6249,250
317.444,0.6104,250
318.589,0.5938,250
319.728,0.575,250
320.861,0.554,250
321.986,0.5306,250
323.103,0.5049,250
324.211,0.477,250
325.309,0.4468,250
326.398,0.4146,250
327.477,0.3802,250
328.546,0.3438,250
329.605,0.3053,250
330.652,0.2649,250
331.669,0.2228,250
332.663,0.1807,250
333.663,0.139,250
334.672,0.098,250
335.689,0.0576,250
336.714,0.0182,250
337.747,-0.0204,250
338.788,-0.0579,250
339.837,-0.0944,250
340.894,-0.1298,250
341.958,-0.1641,250
343.03,-0.1973,250
344.109,-0.2294,250
345.196,-0.2603,250
346.289,-0.2901,250
347.39,-0.3188,250
348.497,-0.3462,250
349.61,-0.3725,250
350.73,-0.3976,250
351.856,-0.4214,250
352.988,-0.4441,250
354.125,-0.4655,250
355.268,-0.4857,250
356.415,-0.5047,250
357.568,-0.5224,250
358.725,-0.5388,250
359.886,-0.554,250
361.052,-0.568,250
362.223,-0.5806,250
363.398,-0.592,250
364.578,-0.6021,250
365.761,-0.6108,250
366.949,-0.6183,250
368.139,-0.6244,250
369.333,-0.6293,250
370.529,-0.6333,250
371.728,-0.6364,250
372.928,-0.639,250
374.13,-0.6412,250
375.333,-0.6431,250
376.537,-0.6449,250
377.742,-0.6467,250
378.947,-0.6485,250
380.154,-0.65,250
381.362,-0.6512,250
382.571,-0.6521,250
383.782,-0.6528,250
384.994,-0.6531,250
