track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,curvePred0,curvePred1,curvePred2,curvePred3,curvePred4,curvePred5,curvePred6,curvePred7,curvePred8,trackPos,speed,distanceRaced,opponent0,opponent1,opponent2,opponent3,opponent4,opponent5,opponent6,opponent7,opponent8,opponent9,opponent10,opponent11,opponent12,opponent13,opponent14,opponent15,opponent16,opponent17,opponent18,opponent19,opponent20,opponent21,opponent22,opponent23,opponent24,opponent25,opponent26,opponent27,opponent28,opponent29,opponent30,opponent31,opponent32,opponent33,opponent34,opponent35,angle,steering,acceleration,brake,gear
7.33374, 7.60922, 8.50537, 10.4385, 14.7757, 21.468, 27.865, 39.8075, 70.6072, 200.0, 49.8655, 21.1133, 13.9621, 10.5624, 7.24717, 5.14528, 4.2136, 3.78723, 3.66663, 0.46979023772162, 0.4449182429767318, 0.4399783393626738, 0.4383942047319106, 0.4381240768187606, 0.43855418359569853, 0.4389920188684539, 0.4393963080137359, 0.4397883156868291, 0.33331849999999996,1.0286733333333332E-6,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, -0.49552926,-0.2551797774673946,0.6000001001001021,0.0,1,
7.33374, 7.60922, 8.50537, 10.4385, 14.7757, 21.468, 27.865, 39.8075, 70.6072, 200.0, 49.8655, 21.1133, 13.9621, 10.5624, 7.24717, 5.14528, 4.2136, 3.78723, 3.66663, 0.46979023772162, 0.4449182429767318, 0.4399783393626738, 0.4383942047319106, 0.4381240768187606, 0.43855418359569853, 0.4389920188684539, 0.4393963080137359, 0.4397883156868291, 0.33331849999999996,1.0286733333333332E-6,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, -0.49552926,-0.2551797774673946,0.6000001001001021,0.0,1,
7.33374, 7.60922, 8.50537, 10.4385, 14.7757, 21.468, 27.865, 39.8075, 70.6072, 200.0, 49.8655, 21.1133, 13.9621, 10.5624, 7.24717, 5.14528, 4.2136, 3.78723, 3.66663, 0.46979023772162, 0.4449182429767318, 0.4399783393626738, 0.4383942047319106, 0.4381240768187606, 0.43855418359569853, 0.4389920188684539, 0.4393963080137359, 0.4397883156868291, 0.33331849999999996,1.0286733333333332E-6,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, -0.49552926,-0.2551797774673946,0.6000001001001021,0.0,1,
7.33374, 7.60922, 8.50537, 10.4385, 14.7757, 21.468, 27.865, 39.8075, 70.6072, 200.0, 49.8655, 21.1133, 13.9621, 10.5624, 7.24717, 5.14528, 4.2136, 3.78723, 3.66663, 0.46979023772162, 0.4449182429767318, 0.4399783393626738, 0.4383942047319106, 0.4381240768187606, 0.43855418359569853, 0.4389920188684539, 0.4393963080137359, 0.4397883156868291, 0.33331849999999996,1.0286733333333332E-6,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, -0.49552926,-0.2551797774673946,0.6000001001001021,0.0,1,
7.33374, 7.60922, 8.50537, 10.4385, 14.7757, 21.468, 27.865, 39.8075, 70.6072, 200.0, 49.8655, 21.1133, 13.9621, 10.5624, 7.24717, 5.14528, 4.2136, 3.78723, 3.66663, 0.46979023772162, 0.4449182429767318, 0.4399783393626738, 0.4383942047319106, 0.4381240768187606, 0.43855418359569853, 0.4389920188684539, 0.4393963080137359, 0.4397883156868291, 0.33331849999999996,1.0286733333333332E-6,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, -0.49552926,-0.2551797774673946,0.6000001001001021,0.0,1,
7.33374, 7.60922, 8.50537, 10.4385, 14.7757, 21.468, 27.865, 39.8075, 70.6072, 200.0, 49.8655, 21.1133, 13.9621, 10.5624, 7.24717, 5.14528, 4.2136, 3.78723, 3.66663, 0.46979023772162, 0.4449182429767318, 0.4399783393626738, 0.4383942047319106, 0.4381240768187606, 0.43855418359569853, 0.4389920188684539, 0.4393963080137359, 0.4397883156868291, 0.33331849999999996,1.0286733333333332E-6,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, -0.49552926,-0.2551797774673946,0.6000001001001021,0.0,1,
7.33374, 7.60922, 8.50537, 10.4385, 14.7757, 21.468, 27.865, 39.8075, 70.6072, 200.0, 49.8655, 21.1133, 13.9621, 10.5624, 7.24717, 5.14528, 4.2136, 3.78723, 3.66663, 0.46979023772162, 0.4449182429767318, 0.4399783393626738, 0.4383942047319106, 0.4381240768187606, 0.43855418359569853, 0.4389920188684539, 0.4393963080137359, 0.4397883156868291, 0.33331849999999996,1.0286733333333332E-6,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, -0.49552926,-0.2551797774673946,0.6000001001001021,0.0,1,
7.33374, 7.60922, 8.50537, 10.4385, 14.7757, 21.468, 27.865, 39.8075, 70.6072, 200.0, 49.8655, 21.1133, 13.9621, 10.5624, 7.24717, 5.14528, 4.2136, 3.78723, 3.66663, 0.46979023772162, 0.4449182429767318, 0.4399783393626738, 0.4383942047319106, 0.4381240768187606, 0.43855418359569853, 0.4389920188684539, 0.4393963080137359, 0.4397883156868291, 0.33331849999999996,1.0286733333333332E-6,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, -0.49552926,-0.2551797774673946,0.6000001001001021,0.0,1,
7.33374, 7.60922, 8.50537, 10.4385, 14.7757, 21.468, 27.865, 39.8075, 70.6072, 200.0, 49.8655, 21.1133, 13.9621, 10.5624, 7.24717, 5.14528, 4.2136, 3.78723, 3.66663, 0.46979023772162, 0.4449182429767318, 0.4399783393626738, 0.4383942047319106, 0.4381240768187606, 0.43855418359569853, 0.4389920188684539, 0.4393963080137359, 0.4397883156868291, 0.33331849999999996,1.0286733333333332E-6,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, -0.49552926,-0.2551797774673946,0.6000001001001021,0.0,1,
7.33374, 7.60922, 8.50537, 10.4385, 14.7757, 21.468, 27.865, 39.8075, 70.6072, 200.0, 49.8655, 21.1133, 13.9621, 10.5624, 7.24717, 5.14528, 4.2136, 3.78723, 3.66663, 0.46979023772162, 0.4449182429767318, 0.4399783393626738, 0.4383942047319106, 0.4381240768187606, 0.43855418359569853, 0.4389920188684539, 0.4393963080137359, 0.4397883156868291, 0.33331849999999996,1.0286733333333332E-6,0.0,200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, -0.49552926,-0.2551797774673946,0.6000001001001021,0.0,1,
