track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,racingLine0,racingLine5,racingLine10,racingLine15,racingLine20,racingLine25,racingLine30,leftWall0,leftWall5,leftWall10,leftWall15,leftWall20,leftWall25,leftWall30,rightWall0,rightWall5,rightWall10,rightWall15,rightWall20,rightWall25,rightWall30,trackPosition,maxTrackEdge,speed,sideSpeed,rpm,gear,distanceFromStartLine,angle,distanceFromRacingLine,outOfTrack,meanCurve,trackBBoxWidth,trackBBoxHeigth,trackVisibility,unknownSteeringSituation,unknownAccelerationSituation,inputSteering,steering,inputAcceleration,speedLimit,gas,brake,
3.6665,3.8059,4.2580,5.2370,7.4608,11.0196,14.7094,22.3698,47.4332,200.0000,75.5981,39.9909,27.3274,20.8758,14.4210,10.2703,8.4206,7.5727,7.3341,0.5269,0.6489,0.7512,0.8535,0.9558,1.0581,1.1604,-3.6659,-3.7649,-3.8638,-3.9628,-4.0618,-4.1607,-4.2597,7.3341,7.2351,7.1362,7.0372,6.9382,6.8393,6.7403,0.3334,200.0000,-0.0018,-0.0025,942.4780,0,3249.2100,0.5670,0.0958,0,0.0218,1.0000,26.3339,15.0,0,0,s0,0.0000,a2,v180,0.0000,0.0000,
3.6665,3.8059,4.2580,5.2370,7.4608,11.0196,14.7094,22.3698,47.4332,200.0000,75.5981,39.9909,27.3274,20.8758,14.4210,10.2703,8.4206,7.5727,7.3341,0.5269,0.6489,0.7512,0.8535,0.9558,1.0581,1.1604,-3.6659,-3.7649,-3.8638,-3.9628,-4.0618,-4.1607,-4.2597,7.3341,7.2351,7.1362,7.0372,6.9382,6.8393,6.7403,0.3334,200.0000,-0.0018,-0.0025,942.4780,0,3249.2100,0.5670,0.0958,0,0.0218,1.0000,26.3339,15.0,0,0,s0,0.0000,a2,v180,0.1000,0.0000,
3.6665,3.8059,4.2580,5.2370,7.4608,11.0196,14.7094,22.3698,47.4332,200.0000,75.5981,39.9909,27.3274,20.8758,14.4210,10.2703,8.4206,7.5727,7.3341,0.5269,0.6489,0.7512,0.8535,0.9558,1.0581,1.1604,-3.6659,-3.7649,-3.8638,-3.9628,-4.0618,-4.1607,-4.2597,7.3341,7.2351,7.1362,7.0372,6.9382,6.8393,6.7403,0.3334,200.0000,-0.0018,-0.0025,957.8840,0,3249.2100,0.5670,0.0958,0,0.0218,1.0000,26.3339,15.0,0,0,s0,0.0000,a2,v180,0.2000,0.0000,
3.6665,3.8059,4.2580,5.2370,7.4608,11.0196,14.7094,22.3698,47.4332,200.0000,75.5981,39.9909,27.3274,20.8758,14.4210,10.2703,8.4206,7.5727,7.3341,0.5269,0.6489,0.7512,0.8535,0.9558,1.0581,1.1604,-3.6659,-3.7649,-3.8638,-3.9628,-4.0618,-4.1607,-4.2597,7.3341,7.2351,7.1362,7.0372,6.9382,6.8393,6.7403,0.3334,200.0000,-0.0018,-0.0025,988.8940,0,3249.2100,0.5670,0.0958,0,0.0218,1.0000,26.3339,15.0,0,0,s0,0.0000,a2,v180,0.3000,0.0000,
3.6665,3.8059,4.2580,5.2370,7.4608,11.0196,14.7094,22.3698,47.4332,200.0000,75.5981,39.9909,27.3274,20.8758,14.4210,10.2703,8.4206,7.5727,7.3341,0.5269,0.6489,0.7512,0.8535,0.9558,1.0581,1.1604,-3.6659,-3.7649,-3.8638,-3.9628,-4.0618,-4.1607,-4.2597,7.3341,7.2351,7.1362,7.0372,6.9382,6.8393,6.7403,0.3334,200.0000,-0.0018,-0.0025,1036.0000,0,3249.2100,0.5670,0.0958,0,0.0218,1.0000,26.3339,15.0,0,0,s0,0.0000,a2,v180,0.4000,0.0000,
3.6665,3.8059,4.2580,5.2370,7.4608,11.0196,14.7094,22.3698,47.4332,200.0000,75.5981,39.9909,27.3274,20.8758,14.4210,10.2703,8.4206,7.5727,7.3341,0.5269,0.6489,0.7512,0.8535,0.9558,1.0581,1.1604,-3.6659,-3.7649,-3.8638,-3.9628,-4.0618,-4.1607,-4.2597,7.3341,7.2351,7.1362,7.0372,6.9382,6.8393,6.7403,0.3334,200.0000,-0.0018,-0.0025,1099.7700,0,3249.2100,0.5670,0.0958,0,0.0218,1.0000,26.3339,15.0,0,0,s0,0.0000,a2,v180,0.5000,0.0000,
3.6665,3.8059,4.2580,5.2370,7.4608,11.0196,14.7094,22.3698,47.4332,200.0000,75.5981,39.9909,27.3274,20.8758,14.4210,10.2703,8.4206,7.5727,7.3341,0.5269,0.6489,0.7512,0.8535,0.9558,1.0581,1.1604,-3.6659,-3.7649,-3.8638,-3.9628,-4.0618,-4.1607,-4.2597,7.3341,7.2351,7.1362,7.0372,6.9382,6.8393,6.7403,0.3334,200.0000,-0.0018,-0.0025,1180.5000,0,3249.2100,0.5670,0.0958,0,0.0218,1.0000,26.3339,15.0,0,0,s0,0.0000,a2,v180,0.6000,0.0000,
3.6665,3.8059,4.2580,5.2370,7.4608,11.0196,14.7094,22.3698,47.4332,200.0000,75.5981,39.9909,27.3274,20.8758,14.4210,10.2703,8.4206,7.5727,7.3341,0.5269,0.6489,0.7512,0.8535,0.9558,1.0581,1.1604,-3.6659,-3.7649,-3.8638,-3.9628,-4.0618,-4.1607,-4.2597,7.3341,7.2351,7.1362,7.0372,6.9382,6.8393,6.7403,0.3334,200.0000,-0.0018,-0.0025,1278.9000,0,3249.2100,0.5670,0.0958,0,0.0218,1.0000,26.3339,15.0,0,0,s0,0.0000,a2,v180,0.7000,0.0000,
3.6665,3.8059,4.2580,5.2370,7.4608,11.0196,14.7094,22.3698,47.4332,200.0000,75.5981,39.9909,27.3274,20.8758,14.4210,10.2703,8.4206,7.5727,7.3341,0.5269,0.6489,0.7512,0.8535,0.9558,1.0581,1.1604,-3.6659,-3.7649,-3.8638,-3.9628,-4.0618,-4.1607,-4.2597,7.3341,7.2351,7.1362,7.0372,6.9382,6.8393,6.7403,0.3334,200.0000,-0.0018,-0.0025,1395.9200,0,3249.2100,0.5670,0.0958,0,0.0218,1.0000,26.3339,15.0,0,0,s0,0.0000,a2,v180,0.8000,0.0000,
3.6665,3.8059,4.2580,5.2370,7.4608,11.0196,14.7094,22.3698,47.4332,200.0000,75.5981,39.9909,27.3274,20.8758,14.4210,10.2703,8.4206,7.5727,7.3341,0.5269,0.6489,0.7512,0.8535,0.9558,1.0581,1.1604,-3.6659,-3.7649,-3.8638,-3.9628,-4.0618,-4.1607,-4.2597,7.3341,7.2351,7.1362,7.0372,6.9382,6.8393,6.7403,0.3334,200.0000,-0.0018,-0.0025,1532.7100,0,3249.2100,0.5670,0.0958,0,0.0218,1.0000,26.3339,15.0,0,0,s0,0.0000,a2,v180,0.9000,0.0000,
